"Name","Year","Directors","Producers","Actors"
"Nightmare","2007","Terry Ingram","","Cassandra Sawtell, Haylie Duff"
"The World, the Flesh and the Devil","1959","Ranald MacDougall","Harry Belafonte, George Englund","Harry Belafonte, Inger Stevens, Mel Ferrer"
"A Farewell to Fools","2013","Bogdan Dumitrescu","Daniel Zuta, Giuliano Doman","Gérard Depardieu, Adina Cartianu, Hubert Damen, Daniela Nane, Gheorghe Visu, Alexandru Bindea, Laura Morante, Harvey Keitel, Bogdan Iancu, Nicodim Ungureanu"
"Fatal Desire","2006","Ralph Hemecker","Randy Sutter","Anne Heche, Juanita Peters, Eric Roberts, Robert Single, Melyssa Ade, Gary Levert, Carroll Godsman, Mark A. Owen, James Edward Campbell, Ian Tench, Loretta Yu, Jessica Parsons, Bird York, Barry Flatman, Matthew MacCaull, Jim Swansburg"
"The Notorious Daughter of Fanny Hill","1966","Peter Perry Jr.","David F. Friedman, Dan Sonney","Stacey Walker, William Rotsler, Linda Cochran, Ora Kittle, Ginger Hale, Orlando Fenwick, John Andrews, Letitia Farrell, James Brand, Tony Sarcone, Tom Duncan, Frank A. Coe, Bill Markey, Earl Marshall"
"Long Walk to Forever","1987","John A. Gallagher","Marino Amaruso, Sam Sarowitz","Denis Leary, Dana Nathan"
"The Shade","1999","Raphaël Nadjari","","Richard Edson"
"Tuesday Morning Ride","1995","Dianne Houston","Peter Geiger, Dianne Houston, Joy Ryan","Ruby Dee"
"Christmas Magic","2011","John Bradshaw","Marek Posival","Derek McGrath, Lindy Booth, Paul McGillion, Kiara Glasco, Teresa Pavlinek, Tricia Braun, Barbara Gordon, Marqus Bobesich, Don Allison, Robert Clarke, Louise Nicol, Mark Wiebe, Gerry Fiorini, Jackie English, Emmanuel Kabongo"
"The Banana Splits in Hocus Pocus Park","1972","William Hanna, Joseph Barbera","Joseph Barbera, William Hanna","Daws Butler, Daws Butler, Daws Butler, Joan Gerber, Allan Melvin, Howard Morris, Howard Morris, Michele Tobin, Paul Winchell, Paul Winchell, Janet Waldo, Barry Williams"
"Wolves","2009","Craig Macneill","Noah Greenberg, Craig Macneill","Ana Asensio, Oscar Casas"
"Born Free","2010","Romain Gavras","Gaetan Rousseau, Romain Staros, Mourad Belkeddar","Peabo Powell, Carol Kraft, Michael Farrell, Kimberly Ables Jindra, Patrick O'Neil, Harrison Bieker, Whiteboi, Chad Neace, Rudy Villagrana, Emett Casey, Irish Quinn, Chris Richmond, Michael Q. Schmidt, Leslie Hoffman, Michael Swinehart"
"Stand By All Networks","1942","Lew Landers","","John Beal"
"Angels in Stardust","2013","William Robert Carey","Scott Dolezal, Sean Gowrie","Alicia Silverstone, Billy Burke, AJ Michalka, Jeannetta Arnette, Amelia Rose Blaire, Dennis Cockrum, Michael Spears, Chandler Massey, Darin Heames, Sydney Sweeney, Kerrigan Mahan, Sierra Fisk, Elizabeth Bond, John Lacy, Adam Cagley"
"National Geographic: Lewis and Clark: Great Journey West","2002","Bruce Neibaur","","Alex Rice"
"Screaming Eagles","1956","Charles F. Haas","Samuel Bischoff","Jacqueline Beer, Tom Tryon, Jan Merlin"
"Reno","1939","John Farrow","Robert Sisk","Richard Dix, Gail Patrick, Anita Louise, Paul Cavanagh, Laura Hope Crews, Louis Jean Heydt, Hobart Cavanaugh, Charles Halton, Astrid Allwyn, Joyce Compton, Frank Faylen, William Haade, Anthony Averill, Paul E. Burns, John Dilson"
"The Scarlet Letter","1934","Robert G. Vignola","Larry Darmour","Colleen Moore, Henry B. Walthall, Al C. Henderson, Betty Blythe, Hardie Albright, Alan Hale Sr., William Farnum, Mickey Rentschler, Shirley Jean Rickert, Virginia Howell, Cora Sue Collins"
"Cloud Dancer","0000","Barry Brown","Melvin Simon","Jennifer O'Neill, Joseph Bottoms, David Carradine, Stella Parton"
"Intruder","2012","Billy Senese","","Jeremy Childs, Jennifer Spriggs"
"Converging With Angels","2002","Michael Sorenson","","Joan Perniconi, David Wesley Cooper, Robert Tobin, Lisa Hunter, Ron Meyer, Frank Hillis, Valerie Shull, Angela Robison, Anne Mayer, Abu Ansari, Thomas Jamroz, Melissa Muniz"
"Crime Story","1986","Abel Ferrara","","Michael Rooker, Andrew Dice Clay, Billy Campbell"
"Portrait of a Hitman","1977","","","Jack Palance, Bo Svenson, Rod Steiger"
"Sylvia of the Secret Service","1917","George Fitzmaurice","","Irene Castle, J.H. Gilmour, Elliott Dexter, Suzanne Willa, J.W. Percival, Erich von Stroheim, Macey Harlam, Antonio Moreno"
"The Man Upstairs","1992","George Schaefer","","Ryan O'Neal, Katharine Hepburn"
"Ain't Them Bodies Saints","2013","David Lowery","Toby Halbrooks, James M. Johnston, Jay Van Hoy, Lars Knudsen, Amy Kaufman, Cassian Elwes","Rooney Mara, Casey Affleck, Ben Foster, Nate Parker, Keith Carradine, Rami Malek, Charles Baker, Heather Kafka, Kentucker Audley, Will Beinbrink, Kennadie Smith, Jacklynn Smith, Robert Longstreet, Augustine Frizzell, David Zellner, Turner Ross, Frank Mosley, Steve Corner, Annalee Jefferies, Gwen Waymon, Artist Thornton, Richard Jackson, Johnny Horn, Susy Duggins, Wyatt James Stafford, Steve Corder, Alec Jhangiani, Steve Jimenez, Tony McCullough, Eric Steele"
"Honor of the Range","1934","Alan James","Ken Maynard","Ken Maynard, Slim Whitaker, Fred Kohler, James Marcus, Frank Hagney, Cecilia Parker, Jack Rockwell, Albert J. Smith, Franklyn Farnum, Ken Maynard, Eddie Barnes, Tarzan"
"The Far Cry","1926","Sylvano Balboni","","Blanche Sweet"
"The Steel Lady","1953","E. A. Dupont","","Anthony Caruso, John Dehner, Charles Victor, Tab Hunter, Rod Cameron, John Abbott, Frank Puglia, Richard Erdman"
"In the Heat of the Night: Grow Old Along with Me","1995","Winrich Kolbe","","Carl Weathers"
"The Italian Key","2011","Rosa Karo","Peter O. Almond, Tuomas Kantelinen, Rosa Karo, Seppo Toivonen","Gwendolyn Anslow, Joana Cartocci, Leo Vertunni, Moose Ali Khan, Mikko Leppilampi, Elisa Cartocci, Isadora Cartocci, Joeanna Sayler, Peter O. Almond, John Shea"
"Tactical Guerilla","1974","Stole Janković","Ika Panajotovic","Xenia Gratsos, Rod Taylor, Bata Živojinović, Adam West, Olivera Vučo, Peter Carsten, Dragomir Felba, Cane Firaunovic, Jovan-Burdus Janicijevic, Leo Martin, Branko Plesa, Marinko Sebez, Kićo Slabinac, Dragomir Stanojević, Zoran Stojiljkovic"
"She Dances Alone","1981","Robert Dornhelm","Federico De Laurentiis, Earle I. Mack","Kyra Nijinsky, Patrick Dupond, Max von Sydow, Sauncy Le Sueur, Rosine Bena, Jeanette Etheridge, Franco DeAlto, Laura Hoover, Walter Kent, Bud Cort"
"Shards","2004","Jonathan Levine","Jonathan D. Boyce","Lamont Bentley, Chris Gardner, Nate Mooney, Veronique Vicari"
"The Gladiator","1986","Abel Ferrara","","Brian Robbins, Nancy Allen, Robert Culp, Stan Shaw, Ken Wahl, Rick Dees"
"Profile For Murder","0000","David Winning","","David Winning"
"Inside/Out","1997","Rob Tregenza","J.K. Eareckson, Thomas Garvin, Jean-Luc Godard","Stefania Rocca, Frédéric Pierrot, Bérangère Allaux, Mikkel Gaup, Antony Watkins, Tom Gilroy, David Roland Frank"
"The Legend Beautiful","1915","Tom Ricketts","","Harry von Meter, William Garwood, Perry Banks, Jack Richardson, Edward Coxen, Vivian Rich, Genevieve Arellanes, Louise Lester, B. Reeves Eason, Hugh Bennett, John B. O'Brien, Joseph Knight, Arthur Melett, William Vaughn, Harry Edmondson, Grace Knight"
"Cheap Fun","2011","Zach Sutherland","Jeremy M. Inman, Kate Staben","Jason Moore, Randy J. Blair, Michelle Foletta, Sean Gilvary, Francesco Irace, Josh Marx, Shane Hennessey, Cory Censoprano, Peter Stoia, Claire Hein, Amir Ghodsi, Will James Johnson"
"Home for the Holidays","1972","John Llewellyn Moxey","Paul Junger Witt","Jill Haworth, Jessica Walter, Walter Brennan, Sally Field, Julie Harris, Eleanor Parker, John Fink, Med Flory"
"Time to Say Goodbye?","1997","David Hugh Jones","Julian Marks","Eva Marie Saint, Richard Kiley, Margaret Colin, Rick Roberts, Alex Carter, Kevin Hicks, John Neville, Elizabeth Shepherd, Louis Di Bianco, Greg Ellwand"
"Remote Control","2013","Byamba Sakhya","Ariunaa Tserenpil","Yondonjamts Bayan Ochir, Sodbileg Bayarsanaa, Ganbaatar Chagnaadorj, Baasandorj Enkhtaivan, Bayarmaa Nergui"
"Gateway","2011","Tim Attewell","Chris Pluchar, Leah Kilpatrick","Garrett M. Brown, David Dastmalchian, Katie Costick"
"513","2010","","","Tom Sizemore, Taryn Manning, Michael Madsen"
"After Image","2001","Robert Manganelli","John Cocca, Chris Nakis","John Mellencamp, Michael Zelniker, Louise Fletcher, Billy Burke, Michael Twaine, Kristen Royal, Mark S. Almekinder, Terrylene, Dea Lawrence, Charlie Smith, Gary Ciula, Bradford B. Moody, Dina Corsetti, Otis Young, Erica Calman, Gianni Manganelli, Taylor Nichols, John Cocca, Frank Beretta, Stephen A. Clark, Robert Caso, Marc Raco, Kirsten Holly Smith"
"Me and the Kid","1993","Dan Curtis","","Danny Aiello, Anita Morris, Ben Stein, David Dukes, Abe Vigoda, Joe Pantoliano, Demond Wilson, Cathy Moriarty, Robin Thomas, Rick Aiello, Alex Zuckerman"
"Ash Wednesday","1973","Larry Peerce","Dominick Dunne","Helmut Berger, Henry Fonda, Elizabeth Taylor"
"The Adventures of Jane Arden","1939","Terry O. Morse","","Dennie Moore"
"Under Pressure","1935","Raoul Walsh","Robert Kane","Edmund Lowe, Victor McLaglen, Florence Rice, Marjorie Rambeau, Charles Bickford, Sig Ruman, Roger Imhof, Warner Richmond, Jack Wallace, James Donlan"
"Sea Devils","1953","Raoul Walsh","David E. Rose","Rock Hudson, Yvonne De Carlo, Bryan Forbes, Gérard Oury, Ivor Barnard, Michael Goodliffe, Denis O'Dea, Jacques Brunius, Arthur Wontner, Maxwell Reed"
"Back To Back","1989","John Kincade","","Bill Paxton"
"Shakedown","1950","Joseph Pevney","Ted Richmond","Chester Conklin, Lawrence Tierney, Charles Sherlock, Roy Engel, Douglas Carter, Elsie Baker, Bruce Bennett, Ralph Brooks, Joseph Pevney, Charles Flynn, Peggy Dow, Brian Donlevy, Joe Dougherty, Rock Hudson, Jack Chefe, Howard Duff, Bert Davidson, Anne Vernon, Peggie Castle, Rock Hudson"
"Senior Showcase","2012","Kris Boustedt, Lindy Boustedt","Kris Boustedt, Lindy Boustedt, Emi Schwartz","Emi Schwartz, Magnus Giaever, Jane Anne Wilder, Audrey Delaney-Hanna, Rafael Ladmer-Price, Katrina Mattson, Asher Jordan, Sara Albertson"
"Kung Fu: The Next Generation","1987","Tony Wharmby","Danny Bilson","Brandon Lee"
"Selfless","2015","Tarsem Singh","Ram Bergman, Peter Schlessel, James D. Stern","Michelle Dockery, Ryan Reynolds, Matthew Goode, Natalie Martinez, Ben Kingsley, Victor Garber, Derek Luke, Sandra Ellis Lafferty, Emily Tremaine, Gary Weeks, Griff Furst, John L. Armijo, Teri Wyble, David Stephen Mitchell, Sadarias Harrell"
"The Mourning Hour","2014","Susan Cohen","Susan Cohen, Shevaun Kastl, Gordon Vasquez","Shevaun Kastl, Robert Knepper, Brandon Barash, Chelsey Patti, Alistair Sewell, Theresa Boyeson"
"Time to Die","1982","Matt Cimber, Joe Tornatore","Charles Lee","Rex Harrison, Rod Taylor, Raf Vallone, Lucie Visser, Cor van Rijn, Linn Stokke, Karl Braun, Edward Albert, Tom van Beek, Tim Beekman, Rijk de Gooyer, Ferd Hugas, Johan Hobo, Marlies van Alcmaer"
"The Legend of Butch & Sundance","2006","Sergio Mimica-Gezzan","Michael Frislev, Damian Ganczewski, Chad Oakes","Rachelle Lefevre, Ryan Browning, Jay Brazeau, Mark Consuelos, Michelle Harrison, Michael Biehn, Susan Ruttan, Hamish Boyd, Blake Gibbons, David Clayton Rogers, Marty Antonini"
"AB-","2013","Daniel Klein","Todd Mendeloff, Matt Irvine, James Choi, Travis Moody, Daniel Klein","Jenna Mills, Elizabeth Ledo, Oren Skoog, Darrell W. Cox, Larry Neumann Jr., Ann Sonneville"
"Bitter Apples","1927","Harry O. Hoyt","","Monte Blue, Myrna Loy, Paul Ellis, Charles Hill Mailes, Sidney De Gray, Ruby Blaine, Patricia Grey"
"Ties That Bind","2011","Leila Djansi","Theodore Baidoo","Ama K. Abebrese, Kofi Adjorlolo, Khareemar Aguiar, Ebbe Bassey, Randall Batinkoff, Mercedes Bey, Fiifi Coleman, Gladys Deku, David Kwame Dontoh, John Dumelo, Kimberly Elise, Durant Fowler, Dave Harper, Omotola Jalade Ekeinde, Okyeame Kwame, Priscilla Owusu Mensah, Kofi Middetan-Mends, Eddie Nartey, Ziggy Netteyson, Grace Nortey, Gifty Temeng"
"The Foundling","2010","Barney Cokeliss","Jason Kemp, Carla Poole","Dean Smith, Anna Delchev, Helena Lyons, Pooky Quesnel, Monica Lopera, Peter Silverleaf"
"Maelstrom","2012","Rob Nilsson","Rob Nilsson, Michelle Anton Allen","Dan da Silva, Dan da Silva, Deniz Demirer, Deniz Demirer, Ed Ferry, Ed Ferry, Samantha Vandersteen, Samantha Vandersteen"
"To Dance with Olivia","1997","Bruce Pittman","","Lonette McKee, Bird York, Kathryne Dora Brown, Frankie Muniz, Louis Gossett Jr., Joe Don Baker"
"Coming To Terms","2013","Jon Jost","Jon Jost","James Benning, Ryan Harper Gray, Katherine Sannella, Stephen Taylor, Roxanne Rogers"
"Jim the Penman","1915","Edwin S. Porter","Adolph Zukor","Harold Lockwood"
"The Little Blonde in Black","1915","Robert Z. Leonard","Carl Laemmle","Robert Z. Leonard, Ella Hall, Harry Carter, Helen Wright"
"The Repair Shop","1998","Phillip Noyce","","Anthony LaPaglia"
"Babygirl","2012","Macdara Vallely","Gigi Dement, David Collins, R. Paul Miller","Yainis Ynoa, Rosa Arredondo, Flaco Navaja, Joshua Rivera, Gleendilys Inoa, Sandra Rodríguez, Dante Clark, James Andrew O'Connor, Stephanie Andujar, Jake Siriano, Jason Sokoloff, Charles Techman, Jorge Cordova, Hailey Siriano, J. Derek Peith, Michael Devine"
"Like Darby and Joan","1913","","","Robert Z. Leonard, Margarita Fischer, Marcia Moore, William McDonald, Ed Brady"
"To Catch a King","1984","Clive Donner","","Teri Garr, Robert Wagner, Marcel Bozzuffi, Barbara Parkins, Jane Lapotaire, John Standing, Horst Janson, Peter Egan, John Patrick"
"Curfew","2012","Shawn Christensen","Damon Russell, Andrew Napier, Mara Kassin","Fátima Ptacek, Kim Allen, Shawn Christensen, Dana Segal, Kirsten Holly Smith, Helga Athineos, Mark Register, Gino Patti"
"Make a Wish","2006","Cherien Dabis","Cherien Dabis","Iman Aoun, Lone Khilleh, Mayar Rantisse"
"The Price of Air","2000","Josh Evans","","Charis Michelsen, Alexis Arquette"
"Purple Hearts","1984","Sidney J. Furie","Sidney J. Furie, Lope V. Juban Jr.","Ken Wahl, Cheryl Ladd, R. Lee Ermey, Stephen Lee, Annie McEnroe, Paul McCrane, Cyril O'Reilly, David Harris, Hillary B. Smith, Drew Snyder, Lane Smith, James Whitmore Jr., Kevin Elders, Sydne Squire, David Bass"
"Madame Spy","1942","Roy William Neill","","Constance Bennett"
"Sexual Tension: Volatile","2012","Marco Berger, Marcelo Mónaco","Didier Costet, Derek Curl","Lucas Lagré, Mario Verón, Javier De Pietro, Lautaro Machaca, Maximiliano Franco, Leo Martínez, Guido Gastaldi, Jair Toledo, Santiago Caamaño, Hernan Munoa"
"I Was an Adventuress","1940","Gregory Ratoff","Nunnally Johnson","Richard Greene, Peter Lorre, Erich von Stroheim, Vera Zorina"
"The Christian Martyrs","1909","Otis Turner","William Nicholas Selig","Robert Z. Leonard, Hobart Bosworth, Betty Harte"
"Her Great Match","1915","René Plaissetty","","Gail Kane"
"The Taiwan Oyster","2012","Mark Jarrett","Mark Jarrett, Mitchell Jarrett, Paul Knaus, Evan Fleischer, Anish Savjani, Puck Tsai, Pin-Chun Liu","Billy Harvey, Jeff Palmiotti, Leonora Moore, Joseph Shu, Catherine Li, Hai-sen Ni, Eva Liao, Chia-Ying Kuo, Fu-Kuei Huang, Sean Scanlan, Jimi Moe, Erin King, Michael Jian, Will Mounger, Magnus von Platen, Bob Bloodworth, Zi-Ning Chou, Jore Liu, Dean Sung, Bin-he Feng, Che-lun Ou, Wei-Jyun Tao, Klairinette Wu"
"I Am Man","0000","Robert X. Golphin","","Elwood Idris Simon"
"Stranger Than Paradise","1984","Jim Jarmusch","Sara Driver","Eszter Balint, John Lurie, Richard Edson, Tom DiCillo, Danny Rosen, Rammellzee, Richard Boes, Cecillia Stark, Brian J. Burchill, Harvey Perr, Sara Driver, Rockets Redglare, Paul Sloane"
"Solomon & Sheba","1995","Robert M. Young","","Halle Berry"
"21 and a Wake-Up","2009","","","Amy Acker, Wes Studi, Faye Dunaway, Tom Sizemore, Tim Thomerson, Danica McKellar, Kieu Chinh, Ed Begley Jr., Andre Royo, Ben Vereen, JC Chasez"
"Pincus","2012","David Fenster","David Fenster","David Nordstrom, Paul Fenster, Christi Idavoy, Dietmar Franosch"
"The Good Doctor","2011","Lance Daly","Orlando Bloom, Jonathan King, Dan Etheridge","Riley Keough, Orlando Bloom, Troy Garity, Rob Morrow, Taraji P. Henson, Michael Peña, Courtney Ford, Wade Williams, Molly Price, Gary Cervantes, Sorel Carradine, Jean St. James, Monique Gabriela Curnen, Michelle Cates, Ken Bhan, Rick Irwin, Jason Axinn, Nathan Keyes, Izumi, James Kimball, Elaine Carroll, David Clennon, Dan Etheridge, Marin Hinkle, Jonathan King, Sarah Lancaster, Julia Lebedeva, Tina Martin, Laura McDavid, Julie McKinnon, Randall Park, Evan Peters, Elizabeth Saydah, Gary Sievers, J.K. Simmons, Noel Thurman, Alex Zubarev, Darby Kennerly, Tom Poole"
"Here Come the Girls","2013","Young Jean Lee","Iver Findlay, Young Jean Lee, Marit Sandsmark","Young Jean Lee, Georgina Spelvin, Peggy Truman, Joe Truman"
"In Pursuit","2001","Peter Pistor","","Coolio, Claudia Schiffer, Daniel Baldwin, Dean Stockwell"
"Miss Lovely","2012","Ashim Ahluwalia","Sanjay Shah","Nawazuddin Siddiqui, Anil George, Niharika Singh, Menaka Lalwani, Zeena Bhatia, Ragesh Asthana, Manoj Bakshi, Zaheer Khan, Avinash Razdan, Mohit Kumar, Akhilesh Tiwari"
"The Bears and I","1974","Bernard McEveety","","Michael Ansara, Chief Dan George, Robert Pine"
"California Girls","1985","Rick Wallace","R. W. Goodwin","Robby Benson, Martin Mull, Charles Rocket, Ernie Hudson, Tawny Kitaen, Doris Roberts, Zsa Zsa Gábor, Martha Longley, Norman Alden, Bobby Kelton, Rick Lieberman, Lynn Tufeld, Robert Parucha, Robert Pastorelli, Robert Firth"
"Mrs. Pollifax-Spy","1971","Leslie H. Martinson","","Rosalind Russell, Darren McGavin, Harold Gould, Nehemiah Persoff, Dana Elcar, James Wellman, Albert Paulsen, John Beck"
"Charlie Chan in London","1934","Eugene Forde","John Stone","Warner Oland, Ray Milland, Alan Mowbray, E. E. Clive, Madge Bellamy, Douglas Walton, Mona Barrie, George Barraud, Murray Kinnell, Reginald Sheffield"
"Dancehall","2012","Tennyson Bardwell","Ann Marie Lizzi, Tennyson Bardwell, Mary-Beth Taylor, Edwin Graham, Isen Robbins","Ellen Burstyn, Clare Foley, Chris Riggi, Stephen Lang"
"Body Count","1998","Robert Patton-Spruill","","Donnie Wahlberg, Linda Fiorentino, David Caruso, John Leguizamo, Ving Rhames, Forest Whitaker, Michael Corrigan, Richard Fullerton, Deacon Dawson, Rebecca Koon, Juliet Poe, James Spruill, Terry Loughlin, Duke Ernsberger, Bill Roberson, Kirk Bair, Freddy Robinson, Freddy Robinson"
"Fast Money","2006","Jerry Chan","Jerry Chan, Dino Hainline, Eli Craig, Archie Kao","Jeanne Sakata, Dana Lee, Archie Kao, Stefan Kollmuss, Chet Grissom, Mae Hi, Howard Fong, Scott Ly"
"Now and Forever","1934","Henry Hathaway","Louis D. Lighton","Carole Lombard, Gary Cooper, Shirley Temple"
"Maybe Tomorrow","0000","Michael Wolfe","Michael Wolfe","Michael Wolfe"
"The Christmas Shoes","2002","Andy Wolk","","Rob Lowe, Kimberly Williams-Paisley"
"Women in Trouble","2009","Sebastian Gutierrez","Sebastian Gutierrez","Elizabeth Berkley, Joseph Gordon-Levitt, Carla Gugino, Cameron Richardson, Emmanuelle Chriqui, Connie Britton, Marley Shelton, Adrianne Palicki, Garcelle Beauvais, Caitlin Keats, Paul J. Cassell, Sarah Clarke, Josh Brolin, Rya Kihlstedt, Simon Baker, Dan Mailley, Antonio Grana, Samantha Shelton, Xander Berkeley, Lauren Katz, Isabella Gutierrez, Greg Lauren, Tricia Donohue"
"Out of Darkness","1994","Larry Elikann","","Diana Ross, Lindsay Crouse"
"Grace Unplugged","2013","Brad J. Silverman","","Kelly Thiebaud"
"The Color of Courage","0000","","","Linda Hamilton"
"Jacob's Sound","2003","Anna Dudley","Shannon Rippy","Tyhm Kennedy, Slyvester Allen, Nicole Williams"
"Queen","2011","Adam Rose","Adam Rose, Sam Wasserman","Ryan Eggold, Bobby Campo, Angela Bullock, Evan Peters, Barry Papick, Quesadila, Ms. Luna, Razmina D'Femme, Paco Evangelista, Ricardo Jimenez, Malcolm Bacani, Sarah Hannah Bigle"
"American Aristocracy","1916","Lloyd Ingraham","D. W. Griffith","Albert Parker, Douglas Fairbanks"
"Her Wicked Ways","1991","Richard Michaels","","Rosie Malek-Yonan, David James Elliott"
"Ground Zero","2000","Richard Friedman","Kenneth Burke, Ralph Burris, Richard Friedman, Raymond Storti","Jack Scalia, Vladimir Kulich, Roxana Zal, Scott Terra, Janet Gunn, Martin Hewitt, Eddie Driscoll, Gloria O'Brien, Reginald VelJohnson, Christopher Neame"
"Thrill","1996","Sam Pillsbury","Hans Proppe","Bill Cobbs, Stepfanie Kramer, Antonio Sabàto Jr., Maxxe Sternbaum, Christine Harnos, Shane Edelman, Larry Joshua, Nick Scoggin, Ted Marcoux"
"Antigone: Rites of Passion","1990","","","Janet Eilber, Sean McElroy, Henry Montes, Bertram Ross, Amy Greenfield"
"Cold in July","2014","Jim Mickle","Adam Folk","Michael C. Hall, Sam Shepard, Wyatt Russell, Don Johnson, Vinessa Shaw, Nick Damici, Lanny Flaherty, Kristin Griffith, Laurent Rejto, Louise Yanofsky, Happy Anderson, Wayne Pyle, Kris Eivers, Tim Lajcik, Greg Russell Cook"
"The Penalty","1941","Harold S. Bucquet","Jack Chertok","Lionel Barrymore, Marsha Hunt, Robert Sterling, Gene Reynolds, Edward Arnold, Dick Lane, Phil Silvers, Warren Ashe, Emma Dunn, Edgar Barrier, Veda Ann Borg, Ralph Byrd, Grant Mitchell, Gloria DeHaven, William Haade"
"Paul Goodman Changed My Life","2011","Jonathan Lee","Jonathan Lee, Kimberly Reed","Paul Goodman"
"Daydreams of Rudolph Valentino","2006","Vlad Kozlov, Massimiliano Trevis","Oleg Kapanets","Christopher Riordan, Anastasia Camras, Raquelle Jason, Ksenia Jarova, Eddie Marks, Gary Ballard, Ellie Arket, Irina Stemer, Brian Greene, Vlad Kozlov, Tyler Nelson"
"Blood Red","1989","Peter Masterson","Judd Bernard","Dennis Hopper, Giancarlo Giannini, Eric Roberts, Michael Madsen, Aldo Ray, Burt Young, Marc Lawrence, Elias Koteas, Joseph Runningfox, Al Ruscio, Frank Campanella, Julia Roberts"
"About Last Night","2014","Steve Pink","Will Gluck, Will Packer","Kevin Hart, Michael Ealy, Regina Hall, Joy Bryant, Christopher McDonald, Paula Patton, Adam Rodríguez, Jovanny Venegas, Jessica Lu, Trae Ireland, Tracey Graves, Tracey Graves, David Greenman, Bryan Callen, Kristin Slaysman, Barrett Perlman, Demetrice Nguyen"
"Tes Cheveux Noirs Ihsan","2005","Tala Hadid","","Hmed Khribesh, Naima Bouzid, Okba Rian"
"Private Sun","2011","Rami Alayan","","Shaden Saleem, Abeer El Masou, Mohammad Awwad, Nicolas Jarad, Therese Saba, Odeh Salameh"
"Me + Her","2014","Joseph Oxford","Emily Bloom, Joseph Oxford, Marco Perego, Bradley Stonesifer","T.G. Levin, Patricia Ja Lee, Keiko Agena, Keith Reay, Farah Griffin, Curtis Spilliotis, Laura Clark, Rex Howell, Hershey Wingler, Brad Silnutzer, Laura Barbera, Kelvin Kao, Jennifer Dohn, Allison Reese, Heiko Obermöller, Junko Goda, Will Choi"
"Chronicle","2012","Josh Trank","John Davis, Adam Schroeder","Michael B. Jordan, Dane DeHaan, Michael Kelly, Ashley Hinshaw, Alex Russell, Bo Petersen, Anna Wood, Rudi Malcolm, Luke Tyler, Crystal-Donna Roberts, Adrian Collins, Grant Powell, Armand Aucamp, Nicole Bailey, Lynita Crofford, Royston Stoffels, Patrick Walton Jr., Lance Elliot, Nadine Suliaman, Pierre Malherbe, Joe Vaz, Matthew Dylan Roberts, Allen Irwin, Chelsea Nortje, Francois Coetzee, Hendrik Kotze, Matt Adler, Robert Clotworthy, Daisy Tormé, Chrystee Pharris, Daniel Booko, Byron Thames, Matt Nolan, Charles L. Campbell, Popeye Vogelsang, Steve Kramer, Ashley Peldon, Paul Pape, Jeff Fischer, Vanessa Lee"
"Brushfire","1962","","","Everett Sloane, Carl Esmond, James Hong, Howard Caine, John Ireland"
"Fall Away","2010","Julian Grant","Boris Wexler","Suzy Brack, Robert Tobin, Kathleen Lawlor, Erinn Strain, John B. Boss, Hamid Assian, Ryan Relyea, Rob Shumate, David Golan, Nathanael Card, Ann Hagemann, Louie Lawless, Zane Byrdy, Grant Stokes, Ali Goodman"
"Handle with Care","1958","David Friedkin","Morton Fine","Dean Jones, Joan O'Brien, Thomas Mitchell, John Smith, Walter Abel, Burt Douglas, Anne Seymour, Royal Dano, Ted de Corsia, Peter Miller, Ron Barbanell, Carol Brewster, Don Burnett, Nick Clooney, Helen Dee "
"The Night Cry","1926","Herman C. Raymaker","","Rin Tin Tin, John Harron, June Marlowe, Gayne Whitman, Heinie Conklin, Don Alvarado, Mary Louise Miller"
"Twisted","2004","Philip Kaufman","Barry Baeres, Anne Kopelson, Arnold Kopelson, Florina Massbaum, Linne Radmin","Ashley Judd, Samuel L. Jackson, Andy García, Titus Welliver, Russell Wong, D. W. Moffett, Leland Orser, David Strathairn, Mark Pellegrino, Richard T. Jones, William Hall, Camryn Manheim, James Oliver Bullock, Joe Duer, Jim Hechim, Drew Letchworth, Diane Amos, Anni Long, David Tenenbaum, Leonard L. Thomas, Joe Drago, Bruce Marovich, Danny Lopez, Lyn Tomioka, Leslie Kaye, Angela Tse, Ofri Fuchs, Angelo Miller, Peter Ridet, Garrett Townsend, Victor Vallejo, Carola Zertuche, Ian Baptiste, Christopher Behrens, Chandler Bolt, Geoff Callan, Veronica Cartwright, Cabran E. Chamberlain, Brian Danker, David Hern, Mark A. Neely, Jon Read, Brian Sampson, Christabel Savalas, Tony Vella, James D. Weston II, Sherrie La'Marr Wheeler, Only Won"
"The Skinny","2012","Patrik-Ian Polk","Patrik-Ian Polk, Benjamin Feuer, Carol Ann Shine","Jussie Smollett, Anthony Burrell, Blake Young-Fountain, Shanika Warren-Markland, Jeffrey Bowyer-Chapman, Jennia Fredrique, Wilson Cruz, B. Scott, Darryl Stephens, Joshua Cruz, Michael Franklin, Dustin Ross, Robb Sherman"
"The Naked and the Dead","1958","Raoul Walsh","Paul Gregory","Cliff Robertson, Raymond Massey, Lili St. Cyr, Barbara Nichols, William Campbell, James Best, Richard Jaeckel, Joey Bishop, Jerry Paris, Robert Gist, L. Q. Jones, Aldo Ray"
